scope,config,intrinsic_score,term_D,term_H,n_bars,share_of_bars,hardness_noconfig,hardness_noconfig_lo,hardness_noconfig_hi,hardness_noconfig_n,hardness,hardness_lo,hardness_hi,hardness_n,n_notes,n_notes_lo,n_notes_hi,n_notes_n,n_slots,n_slots_lo,n_slots_hi,n_slots_n,nps,nps_lo,nps_hi,nps_n,equiv_speed,equiv_speed_lo,equiv_speed_hi,equiv_speed_n,move_mean,move_mean_lo,move_mean_hi,move_mean_n,each_ratio,each_ratio_lo,each_ratio_hi,each_ratio_n,slide_ratio,slide_ratio_lo,slide_ratio_hi,slide_ratio_n,hold_ratio,hold_ratio_lo,hold_ratio_hi,hold_ratio_n,break_ratio,break_ratio_lo,break_ratio_hi,break_ratio_n,muri_rate,muri_rate_lo,muri_rate_hi,muri_rate_n,finest_divisor,finest_divisor_lo,finest_divisor_hi,finest_divisor_n,level,level_lo,level_hi,level_n,bpm,bpm_lo,bpm_hi,bpm_n,div4,div8,div12,div16,div24,div32,lv_13.0-13.4,lv_13.5-13.9,lv_14.0-14.4,lv_14.5+,bpm_<150,bpm_150-180,bpm_>180,cooccur_top3
config,绕圈星星,0.40224,0.15093,0.65356,1211,0.03688,0.65356,0.64188,0.66524,1211,0.5325,0.52043,0.54456,1211,8.32783,8.14844,8.50722,1211,4.75723,4.62467,4.88979,1211,3.35054,3.26347,3.43762,1211,6.74628,5.18487,8.30769,1211,2.10206,2.04884,2.15528,1211,0.77136,0.75822,0.78451,1211,0.32749,0.31928,0.33571,1211,0.02488,0.01995,0.02982,1211,0.02762,0.0225,0.03273,1211,0.30884,0.2828,0.33487,1211,9.46491,7.54315,11.38666,1211,13.60859,13.58822,13.62895,1211,172.99111,171.03541,174.94682,1211,0.3751,0.4095,0.02148,0.13794,0.0076,0.0034,0.46325,0.37159,0.1346,0.03055,0.24773,0.30884,0.44344,一笔画:0.76; 出张:0.69; 连续双押:0.24
config,普通交互,0.40218,0.3647,0.43965,779,0.02372,0.43965,0.42623,0.45307,779,0.54882,0.53729,0.56035,779,12.74968,12.42395,13.0754,779,11.28626,10.95295,11.61958,779,8.09636,7.85982,8.3329,779,23.544,16.75422,30.33379,779,1.99858,1.95003,2.04712,779,0.22708,0.21055,0.2436,779,0.05058,0.04395,0.05721,779,0.04362,0.03305,0.05418,779,0.04453,0.03726,0.0518,779,0.17458,0.14791,0.20126,779,31.16945,22.93037,39.40852,779,13.79884,13.77218,13.8255,779,175.45895,173.23412,177.68378,779,0.04627,0.19517,0.02849,0.63293,0.0183,0.04924,0.26187,0.4018,0.2914,0.04493,0.1181,0.39024,0.49166,三角交互:0.36; 连续双押:0.34; 子弹:0.33
config,轴交互,0.39875,0.37353,0.42397,684,0.02083,0.42397,0.41056,0.43738,684,0.55971,0.54891,0.5705,684,12.40936,12.07828,12.74043,684,11.37865,11.0226,11.73471,684,8.29231,8.05501,8.52961,684,12.36965,9.94854,14.79076,684,1.87762,1.82419,1.93104,684,0.19227,0.1709,0.21364,684,0.05856,0.04897,0.06815,684,0.02875,0.02066,0.03684,684,0.03567,0.02835,0.04299,684,0.13889,0.11295,0.16483,684,17.20029,13.85115,20.54944,684,13.86374,13.83551,13.89198,684,180.71481,177.92299,183.50664,684,0.07372,0.22871,0.01818,0.63177,0.01047,0.01801,0.2193,0.39327,0.30702,0.08041,0.13743,0.33626,0.52632,反手:0.59; 三角交互:0.30; 跳拍:0.29
config,二连扫,0.39476,0.32322,0.4663,1531,0.04662,0.4663,0.45525,0.47734,1531,0.43188,0.41891,0.44486,1531,11.15741,10.85351,11.46132,1531,9.78511,9.48624,10.08398,1531,7.17552,6.95511,7.39592,1531,23.09229,19.07767,27.10691,1531,1.2111,1.18975,1.23245,1531,0.25857,0.24421,0.27293,1531,0.08944,0.08275,0.09612,1531,0.08166,0.07117,0.09215,1531,0.0367,0.03126,0.04214,1531,0.20314,0.18297,0.2233,1531,32.51274,26.86325,38.16223,1531,13.75278,13.73313,13.77242,1531,177.55129,176.03476,179.06781,1531,0.11959,0.40875,0.02767,0.27895,0.02198,0.10099,0.34226,0.35271,0.24755,0.05748,0.14892,0.34161,0.50947,反手:0.41; 出张:0.37; 子弹:0.25
config,出张,0.37978,0.16277,0.5968,6000,0.1827,0.5968,0.59085,0.60274,6000,0.51659,0.51055,0.52263,6000,8.4525,8.36244,8.54256,6000,5.141,5.07088,5.21112,6000,3.61353,3.56853,3.65853,6000,8.24381,7.39494,9.09268,6000,1.59698,1.57628,1.61768,6000,0.67123,0.66343,0.67902,6000,0.25039,0.24639,0.25439,6000,0.06709,0.06307,0.07112,6000,0.03804,0.03526,0.04082,6000,0.448,0.43542,0.46058,6000,12.00675,10.73467,13.27883,6000,13.63947,13.63001,13.64892,6000,173.06082,172.19501,173.92662,6000,0.27553,0.42734,0.02433,0.18547,0.00934,0.00631,0.43467,0.36817,0.166,0.03117,0.22067,0.32117,0.45617,连续双押:0.29; 子弹:0.26; 一笔画:0.26
config,如龙段,0.36873,0.21335,0.52411,20,0.00061,0.52411,0.42444,0.62379,20,0.61503,0.52962,0.70043,20,11.1,9.74431,12.45569,20,7.7,6.55272,8.84728,20,4.73646,4.10141,5.37151,20,7.03333,6.2852,7.78147,20,1.21729,1.06675,1.36783,20,0.59911,0.53627,0.66195,20,0.04084,0.01053,0.07116,20,0.00833,-0.008,0.02467,20,0.085,0.00298,0.16702,20,0.3,0.09394,0.50606,20,11.6,10.10595,13.09405,20,13.56,13.41264,13.70736,20,149.1,140.41933,157.78067,20,0.0,0.4,0.3,0.3,0.0,0.0,0.55,0.2,0.25,0.0,0.6,0.2,0.2,单双/双单:0.95; 错位:0.30; 连续双押:0.30
config,连续双押,0.36868,0.19992,0.53744,6087,0.18535,0.53744,0.53255,0.54233,6087,0.69718,0.69351,0.70086,6087,10.96156,10.87012,11.05299,6087,6.23098,6.16167,6.3003,6087,4.43823,4.39161,4.48484,6087,10.73221,9.83109,11.63332,6087,1.74214,1.72905,1.75524,6087,0.80685,0.80142,0.81229,6087,0.08071,0.07792,0.08351,6087,0.05739,0.05346,0.06132,6087,0.06809,0.06398,0.0722,6087,0.23181,0.2212,0.24241,6087,16.09003,14.57558,17.60447,6087,13.68078,13.67099,13.69057,6087,174.7438,173.96511,175.52248,6087,0.12987,0.48335,0.02395,0.31184,0.01504,0.00735,0.39018,0.368,0.207,0.03483,0.17578,0.36356,0.46065,子弹:0.41; 出张:0.32; 跳拍:0.27
config,双押纵,0.36737,0.21037,0.52437,258,0.00786,0.52437,0.49962,0.54912,258,0.72506,0.7074,0.74272,258,12.63178,12.01613,13.24744,258,6.69767,6.30478,7.09057,258,4.67023,4.42898,4.91148,258,10.02579,6.59976,13.45183,258,1.38554,1.32287,1.44822,258,0.86947,0.84871,0.89023,258,0.07574,0.06215,0.08932,258,0.07806,0.05395,0.10218,258,0.0948,0.07017,0.11942,258,0.22093,0.17021,0.27165,258,15.29845,9.04969,21.5472,258,13.76783,13.7197,13.81596,258,172.37072,167.72048,177.02096,258,0.07398,0.50213,0.09945,0.26422,0.02711,0.00571,0.27519,0.4031,0.31008,0.01163,0.22868,0.29457,0.47674,连续双押:1.00; 子弹:0.36; 出张:0.27
config,反手,0.36151,0.29229,0.43072,3056,0.09306,0.43072,0.4234,0.43804,3056,0.4396,0.43231,0.44688,3056,10.48527,10.33244,10.63811,3056,9.13187,8.9837,9.28004,3056,6.48886,6.38438,6.59335,3056,13.86306,12.0517,15.67441,3056,1.50326,1.48432,1.52219,3056,0.24615,0.23618,0.25612,3056,0.06303,0.05878,0.06729,3056,0.14684,0.13739,0.1563,3056,0.02949,0.0261,0.03288,3056,0.17408,0.16064,0.18753,3056,20.02029,17.3406,22.69998,3056,13.75245,13.73831,13.7666,3056,173.64408,172.49395,174.79421,3056,0.10926,0.22514,0.03935,0.57647,0.02343,0.01425,0.32166,0.36158,0.27062,0.04614,0.18325,0.40085,0.4159,跳拍:0.40; 子弹:0.33; 出张:0.30
config,单双/双单,0.35666,0.21988,0.49344,3258,0.09921,0.49344,0.48696,0.49993,3258,0.60322,0.59786,0.60857,3258,10.252,10.1497,10.35429,3258,6.76397,6.68167,6.84626,3258,4.8813,4.82698,4.93562,3258,10.444,9.03681,11.85118,3258,1.64537,1.62699,1.66374,3258,0.62291,0.61549,0.63033,3258,0.07804,0.07441,0.08166,3258,0.04774,0.04353,0.05194,3258,0.04042,0.03645,0.0444,3258,0.23634,0.22175,0.25093,3258,15.08257,12.95241,17.21272,3258,13.66992,13.65656,13.68328,3258,177.88546,176.78837,178.98255,3258,0.14464,0.55046,0.03493,0.23281,0.01795,0.00466,0.40301,0.35912,0.20411,0.03376,0.16329,0.32259,0.51412,连续双押:0.40; 出张:0.31; 子弹:0.29
config,2+1,0.35007,0.23673,0.46341,347,0.01057,0.46341,0.44071,0.48611,347,0.44892,0.42605,0.47179,347,9.44092,9.11325,9.76859,347,7.52161,7.19214,7.85109,347,5.25546,5.05221,5.4587,347,12.31776,7.22706,17.40845,347,1.27501,1.21429,1.33573,347,0.405,0.37549,0.43451,347,0.13304,0.1202,0.14588,347,0.04838,0.0358,0.06095,347,0.02277,0.01447,0.03108,347,0.34006,0.29014,0.38997,347,18.2219,10.7282,25.71561,347,13.67233,13.63153,13.71314,347,172.53998,168.82802,176.25193,347,0.08077,0.37768,0.12229,0.34106,0.0085,0.00301,0.36599,0.40922,0.17003,0.05476,0.25937,0.2219,0.51585,跳拍:0.47; 子弹:0.46; 出张:0.43
config,跳拍,0.34899,0.27359,0.42438,4538,0.13819,0.42438,0.41834,0.43042,4538,0.52733,0.52228,0.53238,4538,10.96562,10.87582,11.05543,4538,8.84663,8.76827,8.92498,4538,6.07375,6.02201,6.12549,4538,13.49959,12.09181,14.90736,4538,1.48934,1.47389,1.50479,4538,0.35288,0.3448,0.36097,4538,0.06688,0.06394,0.06982,4538,0.04906,0.04577,0.05236,4538,0.02085,0.01862,0.02308,4538,0.21221,0.20031,0.22411,4538,20.50264,18.33035,22.67494,4538,13.72362,13.71237,13.73488,4538,168.73615,167.80918,169.66311,4538,0.00918,0.28987,0.07952,0.58742,0.02898,0.00029,0.3561,0.37329,0.22323,0.04738,0.24416,0.36933,0.38651,子弹:0.45; 连续双押:0.32; 反手:0.29
