scope,config,intrinsic_score,term_D,term_H,n_bars,share_of_bars,hardness_noconfig,hardness_noconfig_lo,hardness_noconfig_hi,hardness_noconfig_n,hardness,hardness_lo,hardness_hi,hardness_n,n_notes,n_notes_lo,n_notes_hi,n_notes_n,n_slots,n_slots_lo,n_slots_hi,n_slots_n,nps,nps_lo,nps_hi,nps_n,equiv_speed,equiv_speed_lo,equiv_speed_hi,equiv_speed_n,move_mean,move_mean_lo,move_mean_hi,move_mean_n,each_ratio,each_ratio_lo,each_ratio_hi,each_ratio_n,slide_ratio,slide_ratio_lo,slide_ratio_hi,slide_ratio_n,hold_ratio,hold_ratio_lo,hold_ratio_hi,hold_ratio_n,break_ratio,break_ratio_lo,break_ratio_hi,break_ratio_n,muri_rate,muri_rate_lo,muri_rate_hi,muri_rate_n,finest_divisor,finest_divisor_lo,finest_divisor_hi,finest_divisor_n,level,level_lo,level_hi,level_n,bpm,bpm_lo,bpm_hi,bpm_n,div4,div8,div12,div16,div24,div32,lv_13.0-13.4,lv_13.5-13.9,lv_14.0-14.4,lv_14.5+,bpm_<150,bpm_150-180,bpm_>180,cooccur_top3
config,三角交互,0.40371,0.38847,0.41894,781,0.02378,0.41894,0.40708,0.43081,781,0.59324,0.58343,0.60306,781,12.88092,12.61867,13.14317,781,12.06274,11.80124,12.32424,781,8.62411,8.44537,8.80285,781,25.68062,18.00115,33.36009,781,1.9592,1.92719,1.9912,781,0.11974,0.10741,0.13207,781,0.01414,0.01103,0.01724,781,0.04205,0.03105,0.05305,781,0.03203,0.02626,0.03781,781,0.07554,0.057,0.09409,781,33.03713,23.90628,42.16799,781,13.86761,13.83945,13.89576,781,175.78751,173.58205,177.99296,781,0.02809,0.15575,0.12872,0.63533,0.01761,0.01691,0.24072,0.35339,0.31242,0.09347,0.18182,0.32266,0.49552,子弹:0.31; 普通交互:0.30; 连续双押:0.29
config,普通交互,0.40318,0.36274,0.44363,754,0.02296,0.44363,0.42994,0.45732,754,0.56342,0.55155,0.5753,754,12.73607,12.40867,13.06348,754,11.25464,10.91927,11.59002,754,8.05273,7.81575,8.28971,754,22.94913,16.18644,29.71182,754,2.01403,1.96503,2.06303,754,0.22831,0.21159,0.24503,754,0.05034,0.0437,0.05699,754,0.04515,0.03413,0.05616,754,0.04515,0.03771,0.0526,754,0.17374,0.14668,0.2008,754,30.37003,22.22911,38.51094,754,13.79284,13.7659,13.81978,754,174.95029,172.69591,177.20467,754,0.04761,0.19375,0.02811,0.63952,0.01625,0.04826,0.26393,0.41247,0.28249,0.04111,0.12467,0.38594,0.48939,三角交互:0.36; 连续双押:0.34; 子弹:0.33
config,二连扫,0.39874,0.32322,0.47427,1531,0.04662,0.47427,0.46314,0.48539,1531,0.48737,0.47432,0.50042,1531,11.15741,10.85351,11.46132,1531,9.78511,9.48624,10.08398,1531,7.17552,6.95511,7.39592,1531,23.09229,19.07767,27.10691,1531,1.2111,1.18975,1.23245,1531,0.25857,0.24421,0.27293,1531,0.08944,0.08275,0.09612,1531,0.08166,0.07117,0.09215,1531,0.0367,0.03126,0.04214,1531,0.20314,0.18297,0.2233,1531,32.51274,26.86325,38.16223,1531,13.75278,13.73313,13.77242,1531,177.55129,176.03476,179.06781,1531,0.11959,0.40875,0.02767,0.27895,0.02198,0.10099,0.34226,0.35271,0.24755,0.05748,0.14892,0.34161,0.50947,子弹:0.25; 连续双押:0.23; 错位:0.23
config,轴交互,0.39622,0.3676,0.42484,714,0.02174,0.42484,0.41148,0.43819,714,0.56605,0.55534,0.57675,714,12.30812,11.98741,12.62883,714,11.22969,10.88217,11.57721,714,8.16068,7.92728,8.39408,714,11.06448,9.87676,12.2522,714,1.85844,1.80576,1.91111,714,0.2025,0.18107,0.22393,714,0.0615,0.05177,0.07123,714,0.0277,0.02013,0.03528,714,0.03482,0.02779,0.04185,714,0.14706,0.12106,0.17306,714,15.46919,13.66917,17.26921,714,13.8598,13.8323,13.88731,714,179.67918,176.97264,182.38572,714,0.08412,0.23163,0.01854,0.62258,0.01003,0.01726,0.21429,0.40476,0.30112,0.07983,0.13866,0.33894,0.52241,跳拍:0.29; 三角交互:0.28; 子弹:0.27
config,出张,0.37284,0.14361,0.60208,716,0.0218,0.60208,0.58455,0.61961,716,0.47336,0.45714,0.48958,716,7.18994,6.95532,7.42457,716,4.59218,4.38746,4.7969,716,3.18809,3.06937,3.30681,716,8.29121,5.21153,11.37088,716,1.98491,1.91143,2.05839,716,0.67007,0.6453,0.69484,716,0.30114,0.28801,0.31427,716,0.08141,0.06798,0.09485,716,0.02678,0.01988,0.03369,716,0.22765,0.19692,0.25839,716,11.80587,7.74567,15.86606,716,13.59483,13.56951,13.62015,716,171.17682,168.61486,173.73877,716,0.43981,0.32926,0.00919,0.10759,0.00965,0.01054,0.47626,0.35615,0.15922,0.00838,0.22207,0.34218,0.43156,一笔画:0.53; 绕圈星星:0.32; 子弹:0.20
config,反手,0.37128,0.27436,0.4682,379,0.01154,0.4682,0.44461,0.49179,379,0.46597,0.44631,0.48562,379,10.30871,9.88336,10.73405,379,8.72823,8.29427,9.16219,379,6.09071,5.77958,6.40184,379,11.5575,7.07941,16.03559,379,1.53273,1.46203,1.60344,379,0.312,0.27778,0.34623,379,0.09635,0.07976,0.11293,379,0.11986,0.0957,0.14403,379,0.02442,0.01455,0.03429,379,0.23219,0.18962,0.27476,379,16.02902,10.90645,21.15159,379,13.68443,13.64468,13.72419,379,169.80871,166.76057,172.85684,379,0.14655,0.28241,0.03124,0.48137,0.02939,0.01824,0.42216,0.27704,0.27968,0.02111,0.22164,0.40106,0.37731,跳拍:0.36; 子弹:0.31; 连续拍滑:0.25
config,连续双押,0.37019,0.19992,0.54046,6087,0.18535,0.54046,0.53556,0.54537,6087,0.70586,0.70221,0.70951,6087,10.96156,10.87012,11.05299,6087,6.23098,6.16167,6.3003,6087,4.43823,4.39161,4.48484,6087,10.73221,9.83109,11.63332,6087,1.74214,1.72905,1.75524,6087,0.80685,0.80142,0.81229,6087,0.08071,0.07792,0.08351,6087,0.05739,0.05346,0.06132,6087,0.06809,0.06398,0.0722,6087,0.23181,0.2212,0.24241,6087,16.09003,14.57558,17.60447,6087,13.68078,13.67099,13.69057,6087,174.7438,173.96511,175.52248,6087,0.12987,0.48335,0.02395,0.31184,0.01504,0.00735,0.39018,0.368,0.207,0.03483,0.17578,0.36356,0.46065,子弹:0.41; 跳拍:0.27; 单双/双单:0.20
config,双押纵,0.36822,0.21037,0.52606,258,0.00786,0.52606,0.50087,0.55125,258,0.733,0.71516,0.75085,258,12.63178,12.01613,13.24744,258,6.69767,6.30478,7.09057,258,4.67023,4.42898,4.91148,258,10.02579,6.59976,13.45183,258,1.38554,1.32287,1.44822,258,0.86947,0.84871,0.89023,258,0.07574,0.06215,0.08932,258,0.07806,0.05395,0.10218,258,0.0948,0.07017,0.11942,258,0.22093,0.17021,0.27165,258,15.29845,9.04969,21.5472,258,13.76783,13.7197,13.81596,258,172.37072,167.72048,177.02096,258,0.07398,0.50213,0.09945,0.26422,0.02711,0.00571,0.27519,0.4031,0.31008,0.01163,0.22868,0.29457,0.47674,连续双押:1.00; 子弹:0.36; 跳拍:0.18
config,如龙段,0.35922,0.21335,0.50509,20,0.00061,0.50509,0.42155,0.58864,20,0.59363,0.52645,0.66081,20,11.1,9.74431,12.45569,20,7.7,6.55272,8.84728,20,4.73646,4.10141,5.37151,20,7.03333,6.2852,7.78147,20,1.21729,1.06675,1.36783,20,0.59911,0.53627,0.66195,20,0.04084,0.01053,0.07116,20,0.00833,-0.008,0.02467,20,0.085,0.00298,0.16702,20,0.3,0.09394,0.50606,20,11.6,10.10595,13.09405,20,13.56,13.41264,13.70736,20,149.1,140.41933,157.78067,20,0.0,0.4,0.3,0.3,0.0,0.0,0.55,0.2,0.25,0.0,0.6,0.2,0.2,单双/双单:0.95; 连续双押:0.30; 轴交互:0.20
config,单双/双单,0.35665,0.21988,0.49343,3258,0.09921,0.49343,0.48701,0.49985,3258,0.6078,0.60255,0.61305,3258,10.252,10.1497,10.35429,3258,6.76397,6.68167,6.84626,3258,4.8813,4.82698,4.93562,3258,10.444,9.03681,11.85118,3258,1.64537,1.62699,1.66374,3258,0.62291,0.61549,0.63033,3258,0.07804,0.07441,0.08166,3258,0.04774,0.04353,0.05194,3258,0.04042,0.03645,0.0444,3258,0.23634,0.22175,0.25093,3258,15.08257,12.95241,17.21272,3258,13.66992,13.65656,13.68328,3258,177.88546,176.78837,178.98255,3258,0.14464,0.55046,0.03493,0.23281,0.01795,0.00466,0.40301,0.35912,0.20411,0.03376,0.16329,0.32259,0.51412,连续双押:0.40; 子弹:0.29; 跳拍:0.28
