scope,song,level,bpm,kind,seg_index,start_bar,end_bar,function,label_ja,n_bars,notes_total,n_events,align_err_ms,phi_star_ms,offset_delta_ms,spearman_raw,spearman_smooth,spearman_weighted,pearson_smooth,peak_err_bars,boundary_hit_tol1,boundary_hit_tol2,d_bar_mean,I_mean,suggested_notes,floor_fit,mae_notes,bias_notes,song_kind,seg_voiced,onset_ratio_vd,plan_v02,accent_stems,plan_primary,plan_secondary,best_stem,best_recall,second_stem,second_recall,best_stem_lift,best_lift,plan_agree,plan_agree_top2,plan_agree_lift,recall_drums,recall_bass,recall_other,recall_vocals,prec_vocals,lift_drums,lift_bass,lift_other,lift_vocals,none_share,pool_precision,ending_label,tail_ratio,section_spearman
song,Endless World,13.0,142.0,,,,,,,66,398,300,0.0,-7.5,5.63,0.181,0.231,0.269,0.339,4,0.5,0.75,6.03,,8.941,0.158,2.263,1.663,vocal,,,,,,,,,,,,,,,,0.77,0.21,0.2,0.127,0.463,3.064,2.208,2.06,2.892,0.11,0.385,tail_kill,1.119,0.133
segment,Endless World,13.0,142.0,audio_segment,0,6,12,interlude,間奏,7,,24,,,,,,,,,,,3.571,0.505,,,,,vocal,0.069,0.105,drum,,drum,,drums,0.667,bass,0.208,other,8.258,True,True,False,0.667,0.208,0.083,0.042,0.25,3.995,5.973,8.258,2.075,,,,,
segment,Endless World,13.0,142.0,audio_segment,1,13,16,pre_chorus,Bメロ,4,,10,,,,,,,,,,,3.75,0.856,,,,,vocal,0.776,0.167,drum,hook,drum,hook,drums,1.0,vocals,0.4,vocals,9.216,True,True,False,1.0,0.1,0.3,0.4,0.8,4.278,0.856,1.508,9.216,,,,,
segment,Endless World,13.0,142.0,audio_segment,2,17,20,chorus,サビ,4,,10,,,,,,,,,,,4.5,0.981,,,,,vocal,0.976,0.118,drum,hook,drum,hook,drums,1.0,bass,0.1,drums,3.839,True,True,True,1.0,0.1,0.1,0.0,0.0,3.839,0.644,0.384,0.0,,,,,
segment,Endless World,13.0,142.0,audio_segment,3,21,28,chorus,サビ,8,,57,,,,,,,,,,,8.375,0.955,,,,,vocal,1.0,0.118,drum,hook,drum,hook,drums,0.632,other,0.632,other,2.456,True,True,False,0.632,0.21,0.632,0.035,0.25,2.425,1.689,2.456,1.006,,,,,
segment,Endless World,13.0,142.0,audio_segment,4,29,36,quiet_chorus,落ちサビ,8,,31,,,,,,,,,,,5.25,0.84,,,,,vocal,0.982,0.067,drum,bass,drum,bass,drums,0.806,bass,0.29,vocals,2.94,True,True,False,0.806,0.29,0.065,0.065,0.4,2.849,2.485,1.486,2.94,,,,,
segment,Endless World,13.0,142.0,audio_segment,5,37,44,chorus,サビ,8,,43,,,,,,,,,,,6.625,0.855,,,,,vocal,1.0,0.274,vocal,bass|vocal,drum,bass,drums,0.861,vocals,0.302,vocals,3.56,True,True,False,0.861,0.209,0.023,0.302,0.65,3.11,1.921,0.667,3.56,,,,,
segment,Endless World,13.0,142.0,audio_segment,6,45,52,pre_chorus,Bメロ,8,,45,,,,,,,,,,,7.125,0.761,,,,,vocal,1.0,0.226,drum,hook,drum,hook,drums,0.556,other,0.244,other,3.567,True,True,False,0.556,0.067,0.244,0.133,0.5,2.651,1.911,3.567,2.571,,,,,
segment,Endless World,13.0,142.0,audio_segment,7,53,60,quiet_chorus,落ちサビ,8,,42,,,,,,,,,,,6.375,0.85,,,,,vocal,0.987,0.167,drum,bass,drum,bass,drums,0.833,bass,0.333,bass,3.436,True,True,False,0.833,0.333,0.071,0.095,0.364,3.282,3.436,1.109,1.999,,,,,
segment,Endless World,13.0,142.0,audio_segment,8,61,71,verse,Aメロ,11,,38,,,,,,,,,,,6.364,0.794,,,,,vocal,0.941,0.14,bass,bass,drum,bass,drums,0.868,bass,0.237,vocals,3.843,True,True,False,0.868,0.237,0.0,0.158,0.462,3.349,2.741,0.0,3.843,,,,,
segment,Endless World,13.0,142.0,chart_changepoint,0,6,13,,,8,,25,,,,,,,,,,,3.25,0.53,,,,,vocal,,,,,,,drums,0.72,bass,0.2,other,9.054,,,,0.72,0.2,0.08,0.08,0.4,4.145,6.539,9.054,3.646,,,,,
segment,Endless World,13.0,142.0,chart_changepoint,1,14,20,,,7,,19,,,,,,,,,,,4.571,0.95,,,,,vocal,,,,,,,drums,1.0,other,0.21,drums,3.983,,,,1.0,0.105,0.21,0.158,0.375,3.983,0.683,0.814,3.971,,,,,
segment,Endless World,13.0,142.0,chart_changepoint,2,21,31,,,11,,72,,,,,,,,,,,8.091,0.926,,,,,vocal,,,,,,,drums,0.653,other,0.542,other,2.52,,,,0.653,0.194,0.542,0.042,0.3,2.45,1.773,2.52,1.312,,,,,
